sgRNA	Gene	Control	Vehicle	T8
ID_69590	NCKAP5	2	0	4
ID_61653	RTN4RL1	1	0	0
ID_44979	C12orf4	2	2	5
ID_57483	GBP5	3	0	1
ID_51460	ILKAP	3	3	2
ID_9808	ITGB3	2	1	1
ID_14414	POMC	1	2	1
ID_68333	LSMEM1	3	2	0
ID_62862	SAMD3	6	8	3
ID_74396	GSTT2B	2	4	4
ID_1723	BICD1	4	1	1
ID_32520	SYNE1	2	0	0
ID_20292	WNT8B	6	3	3
ID_53423	PDCD2L	5	2	0
ID_37921	KCTD3	4	2	4
ID_58539	FRMD6	4	4	5
ID_11439	MGAT5	3	2	4
ID_54557	HSH2D	2	2	0
ID_32311	POFUT2	5	1	5
ID_24863	MAP4K4	6	6	3
ID_72568	KPNA7	5	4	2
ID_75151	FAM229A	4	0	0
ID_69336	H1FNT	3	1	1
ID_3424	CLPTM1	6	0	4
ID_51964	KRTAP1-3	3	2	2
ID_27371	FLOT1	4	1	0
ID_76470	controlguide29	3	5	2
ID_59919	OTOL1	3	5	1
ID_60651	SPANXN3	3	0	3
ID_36806	GMPPA	3	0	0
ID_33767	VAX2	2	1	1
ID_10896	LY75	4	1	1
ID_68709	S100A7A	3	3	4
ID_53567	CYSTM1	2	3	0
ID_55383	KLHL13	4	2	1
ID_33735	BRI3	3	1	0
ID_63521	TMEM92	4	6	1
ID_45561	ZNF512B	3	1	2
ID_13959	PIK3C2B	5	1	4
ID_35878	ERLEC1	5	4	2
ID_64033	BMPER	3	0	0
ID_48190	VWA1	2	3	0
ID_11430	MGAT2	4	2	3
ID_71598	OR52E6	5	0	2
ID_76814	controlguide373	7	1	3
ID_53822	COL25A1	1	0	1
ID_66546	MPV17L	1	0	1
ID_74137	SETSIP	2	0	0
ID_20834	ZNF215	2	0	2
ID_70872	CLEC12B	4	3	1
ID_41750	ARMC1	2	1	5
ID_43388	CSGALNACT1	3	1	3
ID_14251	PNOC	4	4	1
ID_21285	ALX1	3	1	0
ID_66813	C10orf67	3	1	2
ID_53649	L3MBTL3	2	1	0
ID_73164	SPANXN4	3	5	4
ID_27961	PEMT	1	0	1
ID_60936	TLDC2	5	5	1
ID_74455	PCP4L1	4	2	1
ID_67524	BRICD5	3	3	2
ID_29252	CPLX2	5	1	3
ID_6517	FN1	4	1	0
ID_7794	GRM3	7	3	4
ID_33283	AMACR	4	4	2
ID_5176	DUSP9	4	4	5
ID_39167	DYNC2LI1	3	1	4
ID_35623	INPP5J	4	2	3
ID_33975	TMEM186	2	1	2
ID_48261	CCDC71	3	5	5
ID_1905	BTD	5	0	2
ID_71122	TRABD2B	2	4	4
ID_72165	PATE4	3	2	0
ID_76785	controlguide344	3	2	2
ID_21060	REEP5	1	1	2
ID_44524	PAPOLB	2	2	5
ID_67247	OR9G4	3	0	3
ID_55399	ZNF766	6	3	1
ID_29342	CYP46A1	4	1	0
ID_41955	P3H2	2	1	2
ID_55721	AP5B1	1	1	0
ID_2835	CDH2	1	0	0
ID_65061	C9orf91	2	0	1
ID_7540	GPR15	8	1	6
ID_71465	SPATA31D4	6	6	7
ID_48572	DDRGK1	4	3	2
ID_20189	VRK1	1	0	0
ID_55811	CDKN2AIPNL	3	2	1
ID_49963	ALG9	7	3	1
ID_29601	AFG3L2	2	0	2
ID_23772	CLDN8	2	1	3
ID_73421	SPANXN2	4	5	3
ID_11287	MDK	3	0	0
ID_46400	RAB40C	11	11	4
ID_42679	GALNT10	2	0	1
ID_33476	KCNE4	4	1	1
ID_13726	PFDN4	5	2	4
ID_32312	POFUT2	4	0	4
ID_48007	C6orf106	2	0	0
ID_27810	CCL26	2	6	1
ID_25587	FAM53B	8	6	3
ID_58200	OR4B1	7	7	5
ID_40790	GDPD2	2	2	0
ID_67589	VMO1	2	3	1
ID_69443	LEUTX	2	4	5
ID_10599	LGALS3	4	1	4
ID_41608	XKR8	2	4	0
ID_26747	BCL2L10	2	4	0
ID_26964	COL4A3BP	2	2	2
ID_30091	ADAMTS13	5	7	2
ID_11506	MITF	3	1	1
ID_16753	S100A11	3	4	0
ID_66571	C4orf22	5	1	4
ID_77197	controlguide756	7	5	4
ID_5942	F2R	5	0	5
ID_57852	WDR17	5	4	4
ID_58049	CFAP70	4	3	2
ID_4494	DGKB	3	3	1
ID_59198	RPTN	1	1	0
ID_36746	CCDC106	1	0	0
ID_12797	NPR1	1	1	2
ID_33880	ASF1A	3	2	0
ID_25088	NPEPPS	1	1	0
ID_58645	PLA2G4E	5	2	2
ID_20320	WRN	1	1	1
ID_35839	GPR162	4	3	1
ID_63932	MIER3	3	2	3
ID_59445	FCRLB	4	3	0
ID_53717	DCTN5	1	0	0
ID_57556	C12orf56	1	2	0
ID_71189	LOC388780	2	0	2
ID_54086	GTPBP3	4	2	2
ID_11422	MGAT1	9	1	4
ID_12012	GADD45B	5	4	3
ID_32184	ARC	10	2	1
ID_52271	TMEM47	2	2	1
ID_40195	RC3H2	3	0	0
ID_63899	TRIM60	7	3	1
ID_18121	SPRR2F	2	2	2
ID_57637	DIRC1	4	5	4
ID_69946	ZNF530	1	0	2
ID_37060	RAX	4	2	1
ID_41556	EBLN2	2	4	2
ID_77314	controlguide873	5	2	2
ID_64298	FAM9C	6	2	6
ID_47630	NSD1	2	2	2
ID_57977	TMC2	3	2	2
ID_20331	XDH	4	3	1
ID_49526	TMEM204	4	3	0
ID_9470	IL9R	2	1	1
ID_68662	KRTAP19-6	3	0	3
ID_66189	ATP6V1C2	7	5	3
ID_6667	FUT7	1	1	0
ID_75828	LOC100505549	6	4	4
ID_34267	KRT23	3	6	3
ID_2884	CDH15	1	0	1
ID_60436	MTPN	2	0	2
ID_71924	VHLL	2	0	3
ID_69562	RSPO4	1	3	3
ID_4422	CYP11A1	2	1	1
ID_45974	BEGAIN	4	3	0
ID_41007	RASIP1	4	5	9
ID_59834	SPATA3	2	1	3
ID_34475	ANKRD17	6	3	3
ID_29689	MLLT11	1	1	1
ID_47452	XYLT2	2	0	2
ID_64325	B3GNT6	1	0	0
ID_38960	ZC3HC1	3	0	1
ID_36978	SLC39A2	5	2	0
ID_18375	STAU1	7	1	1
ID_32899	ETHE1	3	0	4
ID_48974	APOO	2	0	0
ID_67439	TSSK4	3	1	2
ID_73491	DEFB106B	2	2	3
ID_52153	GLT8D2	2	1	1
ID_7583	GPR27	3	6	0
ID_55645	TCEAL8	4	2	1
ID_19839	UBE2D1	1	0	1
ID_34963	GALNT8	7	1	2
ID_51660	STMN4	2	4	0
ID_55651	SPOCD1	6	2	3
ID_16885	SCN2B	4	2	3
ID_62169	CLDN19	3	4	4
ID_55596	LRSAM1	2	1	1
ID_48564	FAM173A	21	0	4
ID_61219	FAM76B	8	4	0
ID_52856	QRICH2	2	3	0
ID_31806	COLGALT2	7	7	5
ID_71270	OR6B2	3	2	3
ID_76400	C11orf98	5	3	2
ID_75444	CLDN24	5	5	3
ID_61489	C15orf32	5	0	0
ID_76434	LOC400927-CSNK1E	5	7	3
ID_65596	HEPACAM	4	0	5
ID_54126	CBX2	3	0	1
ID_28359	DDX17	3	0	0
ID_56583	ACPT	5	3	0
ID_72440	USP17L1	1	4	1
ID_13693	PEX13	2	1	3
ID_64803	KLHDC8B	5	1	3
ID_40831	EPS8L1	3	3	4
ID_22404	RGS20	1	0	4
ID_46323	PPP4R4	3	0	0
ID_24025	NEURL1	2	0	1
ID_69572	XKR7	3	0	1
ID_26079	TSC22D2	4	1	2
ID_18235	SRY	1	2	1
ID_69899	PDDC1	6	2	1
ID_24346	STK17A	1	1	3
ID_10059	KCNJ11	3	1	0
ID_60589	PIP5KL1	3	1	3
ID_2361	CASP9	6	2	4
ID_12324	NDUFB3	5	4	4
ID_17329	SHOX2	2	4	4
ID_30648	SNF8	1	0	0
ID_33134	DNPEP	2	1	0
ID_46444	HMHB1	2	0	1
ID_67294	IGSF22	7	1	1
ID_29626	KDELR1	2	2	1
ID_20781	ZSCAN26	2	1	0
ID_27494	RABEPK	3	1	3
ID_1998	C4BPB	2	7	2
ID_64537	LKAAEAR1	4	3	4
ID_32794	TPSD1	5	0	2
ID_24222	MTA2	3	0	1
ID_57647	ZNF526	3	1	3
ID_22841	CRADD	2	0	1
ID_65725	PRSS54	4	4	3
ID_27767	AKR1A1	4	3	3
ID_42499	SIRPG	4	5	0
ID_25430	CLCA2	4	1	3
ID_14728	PRELP	2	1	1
ID_22298	BHLHE40	7	2	1
ID_9208	IFNA2	6	6	7
ID_68211	FAM153A	1	1	2
ID_12432	NEFH	5	4	0
ID_56643	CGB7	3	0	2
ID_19608	TRPC4	3	2	1
ID_9512	IL13	3	1	0
ID_29073	CHL1	2	2	3
ID_38809	RHCG	1	2	6
ID_2675	CD38	2	0	2
ID_674	ALOX12B	2	0	2
ID_9178	IFI27	7	0	4
ID_47254	PRDM14	3	0	2
ID_30583	NXPH4	7	1	4
ID_73515	C1QTNF9B-AS1	3	0	1
ID_5768	ERCC5	2	0	3
ID_74183	SERPINE3	3	3	1
ID_26530	MAGEC1	5	1	2
ID_16183	RNASE3	4	2	5
ID_18108	SPRR2A	3	0	0
ID_70424	PEAR1	1	5	1
ID_71701	OR10V1	2	1	1
ID_38560	ZBTB7A	4	6	5
ID_53138	WDR24	4	1	2
ID_8850	HRH2	3	5	4
ID_21053	ST8SIA4	7	4	0
ID_54120	SPSB2	5	2	1
ID_66117	DEFB105A	2	1	3
ID_1386	ATP2B3	2	0	0
ID_22386	SCARF1	2	0	0
ID_9819	ITGB5	2	1	0
ID_49168	OR51B4	3	1	3
ID_75881	ZMYM6NB	6	8	5
ID_24817	NCR2	5	1	4
ID_18654	TAF6	1	0	0
ID_10947	MXD1	1	1	0
ID_40048	DGCR8	1	0	0
ID_32278	ZC3H7B	6	6	2
ID_30575	ZHX1	7	4	5
ID_77336	controlguide895	4	2	3
ID_4964	DOCK2	3	0	1
ID_36302	MCTS1	5	3	1
ID_12114	MYO6	6	3	1
ID_17826	SNAPC1	2	1	1
ID_45857	KLHL8	3	2	2
ID_29706	RAB40B	1	0	3
ID_40922	MTMR10	5	3	0
ID_23520	WASL	9	0	3
ID_45488	DSCAML1	8	2	3
ID_12612	NID1	2	2	0
ID_223	ACVR1	4	1	4
ID_3135	CHD4	1	0	0
ID_23891	NMI	2	1	0
ID_52736	ITFG3	4	1	2
ID_11963	MXI1	4	2	2
ID_8869	HSD3B1	5	6	1
ID_41652	TRIM68	5	1	0
ID_8369	HK3	3	0	8
ID_28755	RGS14	4	3	4
ID_65516	OOSP2	4	1	3
ID_65451	OR6Q1	3	0	3
ID_74019	TMEM191C	7	1	3
ID_45260	MCOLN1	7	4	8
ID_14511	PPAT	2	4	0
ID_2962	CDR1	1	2	4
ID_12266	NDUFA1	1	0	0
ID_14641	PPP2R5A	2	0	0
ID_44599	LXN	5	7	2
ID_51143	ULBP2	2	2	4
ID_1212	ARSE	5	0	3
ID_37002	PACSIN1	3	0	4
ID_52070	PITPNM3	2	4	5
ID_39631	FXYD4	4	3	5
ID_66331	ANKRD18A	5	4	2
ID_62359	SMYD1	2	3	0
ID_90	ACACA	4	0	0
ID_33225	SMUG1	4	1	3
ID_52714	IMMP2L	1	0	0
ID_24925	PCYT1B	10	6	4
ID_63081	CAMSAP1	3	1	1
ID_30399	SLC2A6	1	1	0
ID_38839	CABP2	2	4	2
ID_22528	AOC3	2	1	0
ID_5083	RCAN1	2	3	4
ID_7349	GNB2	1	1	1
ID_10383	KRT31	2	2	1
ID_62316	DNAJB7	8	2	2
ID_77031	controlguide590	5	1	4
ID_6592	FRZB	10	1	3
ID_54772	KRTAP4-2	6	5	1
ID_69690	PLCXD3	1	0	1
ID_12907	ROR1	2	3	1
ID_31919	GGA3	3	1	4
ID_72181	ATP11AUN	1	4	2
ID_19934	SLC35A2	1	1	0
ID_40245	SGTB	3	0	2
ID_69293	HEPHL1	4	6	3
ID_62056	SLC35F3	4	2	8
ID_9464	IL9	2	2	1
ID_67914	OR14A16	2	3	0
ID_67955	EPHA10	3	2	2
ID_71517	PAGE2B	3	0	5
ID_8444	HLA-DRB5	1	0	0
ID_53999	TRIM55	3	2	0
ID_18645	TAGLN	3	3	3
ID_70528	LHFPL3	3	0	1
ID_34967	FGF21	4	2	2
ID_63885	BBS12	7	7	7
ID_42706	SUPT20H	6	6	7
ID_17759	SMARCC1	1	2	0
ID_57769	OLIG1	4	4	4
ID_71603	OR52E8	3	5	1
ID_61109	ASB15	2	4	3
ID_37969	C5orf45	5	5	12
ID_35641	HSPB7	3	1	1
ID_76929	controlguide488	3	10	4
ID_47726	RGS18	2	2	2
ID_9715	IRF5	6	2	2
ID_43700	KMT2E	1	0	0
ID_66898	KLHL34	2	1	1
ID_18238	TRIM21	5	8	4
ID_67784	TPRX1	1	3	2
ID_25379	TRAF4	2	0	1
ID_70911	SERP2	3	3	3
ID_9321	IGFBP4	1	0	5
ID_30874	CLCA4	2	7	1
ID_32911	SEC11A	2	3	1
ID_49818	CXorf36	4	4	4
ID_19493	TPM1	3	0	0
ID_2465	CCKAR	3	6	3
ID_72930	RNASEK	4	0	6
ID_27789	TLR6	3	1	1
ID_72271	C1orf141	2	1	0
ID_75592	USP17L12	2	7	1
ID_62209	SPATA45	6	3	4
ID_38320	KLF3	8	4	3
ID_27696	SNAPC5	3	3	3
ID_69445	ZNF404	4	6	8
ID_67446	CEP170B	3	4	3
ID_41218	NMRK1	1	3	2
ID_38293	CDKL3	2	1	2
ID_53081	FAR1	1	3	2
ID_45816	NCEH1	5	2	2
ID_57397	MB21D1	6	4	2
ID_15490	PTPRH	1	0	0
ID_14413	POMC	6	5	4
ID_37472	TBX22	2	0	0
ID_59720	MBOAT2	1	1	1
ID_39532	BTBD1	1	1	2
ID_65672	C10orf111	3	1	0
ID_46169	RDH14	3	5	2
ID_35879	MMADHC	1	3	0
ID_22633	SLC4A4	5	1	3
ID_73242	OR14J1	5	2	3
ID_67657	PTRF	5	4	6
ID_33477	KCNE4	3	1	1
ID_4582	ACE	3	2	1
ID_59093	ZNF57	4	3	3
ID_19996	UNG	1	0	0
ID_59035	CCDC159	3	1	3
ID_29822	LILRB4	2	0	2
ID_19258	TLL1	9	8	8
ID_62273	AIFM3	6	2	1
ID_74071	CBY3	2	4	2
ID_36841	DSE	2	0	0
ID_61743	TRIM16L	2	2	1
ID_53665	NEURL4	2	4	0
ID_74228	SKOR2	10	7	7
ID_64601	ALG14	2	1	2
ID_65822	ARMC12	8	5	4
ID_77395	controlguide954	5	10	6
ID_38581	ZNF117	3	1	0
ID_1660	BCL7A	2	4	1
ID_1995	C4BPA	3	4	4
ID_28229	EIF3M	1	0	0
ID_66293	EIF4E1B	4	4	10
ID_6291	FGFR1	1	1	0
ID_55660	SPSB3	3	2	1
ID_53257	FBXW9	3	1	2
ID_66896	CCDC96	2	3	2
ID_43263	CDK5RAP2	7	3	4
ID_56257	LDHAL6B	3	1	5
ID_74138	FAM227A	2	1	0
ID_13041	OPCML	4	2	0
ID_33808	MTO1	5	0	2
ID_68762	CCDC84	2	0	0
ID_63785	TMPRSS6	4	2	4
ID_62724	FAM53A	6	9	4
ID_76221	CEP295NL	2	1	0
ID_72621	OR6C65	6	5	3
ID_2709	CD47	5	5	4
ID_23087	SAP30	2	1	2
ID_5010	DPYS	1	0	1
ID_48118	IL25	3	3	1
ID_23499	H1FX	1	0	0
ID_72372	CCSER1	4	4	3
ID_10853	LTBR	4	1	0
ID_50985	C17orf70	3	1	2
ID_40791	PGPEP1	5	9	7
ID_15971	PRPH2	3	1	1
ID_49800	BBS10	7	4	5
ID_182	ACTA2	5	3	3
ID_72357	DTHD1	2	3	3
ID_40514	PCSK4	2	2	2
ID_42263	GIMAP4	1	0	2
ID_53536	GFM2	1	0	0
ID_57581	RAB3C	5	4	4
ID_29987	LECT1	5	2	2
ID_19849	UBE2E1	5	7	3
ID_50711	BICC1	8	4	6
ID_40049	DGCR8	1	0	0
ID_63049	TMEM74	4	1	3
ID_1700	CFB	2	2	3
ID_36933	LRP12	2	2	0
ID_77390	controlguide949	6	4	3
ID_60117	PDCL2	5	3	6
ID_48030	FNDC3B	5	5	5
ID_19593	TRO	3	0	3
ID_50571	DOCK5	6	4	3
ID_11128	MARK1	2	0	0
ID_67052	STEAP2	1	0	2
ID_41783	MSL2	11	2	4
ID_4816	DLG4	1	1	0
ID_70067	LCE1D	4	7	3
ID_9865	ITPKA	4	3	1
ID_14453	POU3F2	2	1	0
ID_77192	controlguide751	2	2	8
ID_55839	XRCC6BP1	3	1	3
ID_40084	TMCO1	4	2	1
ID_10045	KCNJ8	6	2	5
ID_50481	DNAJC22	3	1	0
ID_64286	CLYBL	3	0	0
ID_67398	SIAH3	5	2	2
ID_19410	TNNT2	2	0	2
ID_34441	CNTNAP2	4	0	1
ID_11442	SCGB2A2	3	0	0
ID_967	AQP8	2	1	1
ID_25949	PIEZO1	4	2	1
ID_12219	NBL1	1	1	2
ID_49583	NLRX1	5	8	15
ID_12145	MYOG	4	0	3
ID_174	ACRV1	1	0	1
ID_6308	FGFR4	3	2	1
ID_29318	PPP1R13L	3	2	1
ID_42207	TMEM40	5	0	1
ID_6349	FKBP1B	7	1	5
ID_28172	PIBF1	2	1	1
ID_68636	KRTAP6-1	2	1	1
ID_6747	GABRA3	1	0	0
ID_58385	IKBIP	4	1	1
ID_76534	controlguide93	8	6	3
ID_54001	TRIM55	2	1	1
ID_72216	C17orf97	4	1	5
ID_68525	VN1R4	2	4	3
ID_2604	CD14	2	2	1
ID_63445	DYX1C1	6	1	2
ID_25903	SUSD6	4	1	2
ID_68323	ZNF775	1	1	1
ID_19717	TUBA4A	2	2	1
ID_39272	HSPB11	6	5	4
ID_26792	PARP2	3	6	4
ID_60638	OR1N2	1	3	1
ID_15390	PTK7	1	0	0
ID_71692	OR5AN1	4	2	1
ID_43725	APOBR	3	2	2
ID_611	ALDH3A1	3	2	3
ID_70016	NMNAT3	3	1	0
ID_72547	OR5K2	7	5	5
ID_45787	KLHL42	2	0	2
ID_27160	SUGP2	3	0	1
ID_42871	TBC1D22B	2	1	1
ID_56145	DAPL1	4	1	6
ID_16104	RGS4	3	6	1
ID_70775	TMEM189	3	1	1
ID_35090	MYOF	4	1	2
ID_63453	SPRED1	6	5	0
ID_36195	CCDC22	3	4	4
ID_42102	WDR41	2	0	1
ID_29740	FERMT2	5	7	0
ID_7725	GRID2	2	0	2
ID_72485	C9orf139	8	6	1
ID_17975	SOX2	6	3	7
ID_14472	POU4F3	5	1	4
ID_35097	INTS6	6	0	1
ID_47015	SMAP1	3	4	1
ID_73469	SPRN	8	6	4
ID_38606	PLA1A	3	0	0
ID_43206	CARKD	5	2	2
ID_48826	PRRG3	1	3	3
ID_60935	TLDC2	7	1	7
ID_33882	ASF1A	1	1	0
ID_59882	AHSA2	6	1	4
ID_3058	CETN3	1	4	1
ID_68153	DCAF4L1	3	4	6
ID_55575	ZNF486	1	0	2
ID_54059	LOXL3	3	2	3
ID_62178	C1orf210	9	8	6
ID_72740	DNAJB3	2	3	6
ID_13723	PFDN2	9	1	1
ID_23277	SGPL1	6	5	3
ID_24235	MAGI1	7	3	5
ID_57099	UCN3	4	1	3
ID_63615	ZNF564	1	1	1
ID_21646	HIST2H2AA3	5	2	0
ID_60077	LIN54	4	1	1
ID_67588	HEXDC	4	4	1
ID_44117	LMOD3	3	0	6
ID_46190	ZFP14	3	4	2
ID_17765	SMARCD1	3	0	0
ID_76925	controlguide484	3	4	4
ID_49923	LRRC31	2	3	2
ID_75975	THEG5	3	1	1
ID_3694	CORT	3	0	1
ID_36939	MDFIC	3	2	5
ID_61342	E2F7	7	3	0
ID_65296	OR5M11	4	3	1
ID_41383	MOCOS	3	2	4
ID_29469	YIF1A	1	1	4
ID_29923	STON1	4	0	2
ID_30338	NUDT3	5	0	1
ID_18344	STAT1	1	0	0
ID_29574	SPIN1	2	3	4
ID_60409	COL26A1	7	1	2
ID_11099	MAOB	5	3	2
ID_1987	C4A	1	1	1
ID_23538	TRPA1	3	4	6
ID_76355	LOC101927844	3	1	0
ID_40986	YTHDF1	2	0	1
ID_38942	TMEM138	3	0	1
ID_43151	CEP72	2	2	4
ID_32094	ZC3H4	4	1	1
ID_22717	DNAH11	3	3	0
ID_623	ALDH3B1	1	0	1
ID_56425	TEX30	1	2	1
ID_36230	OSTM1	3	1	3
ID_31914	SNX13	5	6	6
ID_42571	SLC35E3	6	2	4
ID_3411	CLN5	4	0	2
ID_68014	FAM150B	5	3	8
ID_77292	controlguide851	3	1	3
ID_76927	controlguide486	7	4	4
ID_17553	SLC6A12	7	2	2
ID_73980	GAGE2B	4	2	1
ID_37192	RRM2B	5	1	3
ID_25739	NOS1AP	2	2	2
ID_65962	RSBN1L	2	1	1
ID_3664	COL19A1	2	1	0
ID_63502	Mar-10	6	4	2
ID_65093	CT83	4	0	3
ID_72804	STX19	1	0	2
ID_45730	PCDH19	1	2	0
ID_17945	CAPN15	2	1	0
ID_13738	PFKFB1	3	3	0
ID_73408	RNASE12	1	1	0
ID_13310	PARK2	1	1	0
ID_29982	WWP1	2	0	0
ID_59156	CCDC105	2	3	0
ID_4744	DHCR24	2	4	2
ID_55969	IDI2	2	2	2
ID_63570	ZNF610	2	3	3
ID_868	AOX1	1	0	0
ID_72719	NOMO3	2	0	2
ID_5729	ERBB2	2	1	0
ID_76546	controlguide105	5	2	7
ID_56208	STRADA	2	0	1
ID_32030	GANAB	2	0	0
ID_25001	AKAP5	3	1	3
ID_59047	CPT1C	2	4	9
ID_56846	IFT43	1	1	3
ID_68157	CYP4V2	3	2	6
ID_42925	BCAS4	2	1	2
ID_14802	PRKAR1A	2	1	2
ID_62465	PPP1R1C	4	4	1
ID_62385	ANKAR	2	3	0
ID_2416	RUNX3	3	0	1
ID_56904	CFAP36	4	6	4
ID_988	APOE	4	1	0
ID_23789	LDB2	6	2	5
ID_4940	DNMT1	3	0	0
ID_18270	SSR4	1	2	1
ID_6314	FGL1	1	0	0
ID_68669	KRTAP20-1	4	7	4
ID_44300	INPP5E	1	1	3
ID_15501	PTPRM	6	1	3
ID_13859	PHF2	3	1	1
ID_64292	FAM9A	1	0	0
ID_77261	controlguide820	8	3	1
ID_16996	CCL14	6	4	2
ID_42690	FOXRED1	2	0	0
ID_66576	PLA2G4F	3	3	0
