"./T0-Control.fastq.gz" "./T8-APR-246.fastq.gz" "./T8-Vehicle.fastq.gz"
"ID_188" 3 0 0
"ID_189" 7 1 0
"ID_190" 3 2 3
"ID_191" 5 6 2
"ID_192" 2 3 2
"ID_193" 1 1 5
"ID_194" 0 0 0
"ID_195" 2 0 0
"ID_196" 0 0 0
"ID_197" 8 1 1
"ID_198" 7 4 1
"ID_199" 5 6 2
"ID_200" 8 7 6
"ID_201" 3 2 5
"ID_202" 3 4 3
"ID_203" 0 1 1
"ID_204" 2 3 2
"ID_205" 2 1 0
"ID_206" 1 0 0
"ID_207" 2 0 3
"ID_208" 0 0 0
"ID_209" 0 0 1
"ID_210" 2 1 2
"ID_211" 0 0 1
"ID_212" 4 2 2
"ID_213" 1 1 1
"ID_214" 0 0 1
"ID_215" 0 1 0
"ID_216" 3 3 1
"ID_217" 3 1 2
"ID_218" 0 0 1
"ID_219" 2 1 0
"ID_220" 0 0 0
"ID_221" 6 5 4
"ID_222" 1 3 4
"ID_223" 5 5 1
"ID_224" 1 4 3
"ID_225" 0 0 1
"ID_226" 5 1 2
"ID_227" 5 3 4
"ID_228" 0 1 5
"ID_229" 3 1 2
"ID_230" 2 2 5
"ID_231" 3 1 0
"ID_232" 1 6 0
"ID_233" 2 0 1
"ID_234" 2 5 2
"ID_235" 1 2 1
"ID_236" 0 0 0
"ID_237" 0 0 0
"ID_238" 1 0 2
"ID_239" 2 0 1
"ID_240" 1 0 2
"ID_241" 1 6 5
"ID_242" 1 1 0
"ID_243" 4 0 1
"ID_244" 1 3 3
"ID_245" 8 11 21
"ID_246" 1 3 1
"ID_247" 1 0 0
"ID_248" 2 1 0
"ID_249" 0 0 2
"ID_250" 1 1 2
"ID_251" 2 3 3
"ID_252" 1 1 3
"ID_253" 2 2 1
"ID_254" 7 2 1
"ID_255" 1 2 2
"ID_256" 3 2 2
"ID_257" 5 2 0
"ID_258" 1 0 0
"ID_259" 2 3 2
"ID_260" 2 0 0
"ID_261" 2 2 0
"ID_262" 1 3 2
"ID_263" 1 2 1
"ID_264" 3 3 0
"ID_265" 1 1 1
"ID_266" 1 0 1
"ID_267" 4 1 0
"ID_268" 3 1 2
"ID_269" 2 0 0
"ID_270" 2 2 2
"ID_271" 4 1 3
"ID_272" 6 2 4
"ID_273" 2 2 1
"ID_274" 4 2 4
"ID_275" 3 4 0
"ID_276" 2 4 0
"ID_277" 1 0 0
"ID_278" 5 3 0
"ID_279" 3 3 5
"ID_280" 2 2 0
"ID_281" 1 5 1
"ID_282" 1 3 5
"ID_283" 1 1 2
"ID_284" 3 3 2
"ID_285" 5 7 3
"ID_286" 4 1 2
"ID_287" 4 1 3
"ID_288" 0 0 0
"ID_289" 2 2 2
"ID_290" 4 3 4
"ID_291" 2 1 0
"ID_292" 2 2 0
"ID_293" 2 3 3
"ID_294" 3 2 1
"ID_295" 0 3 1
"ID_296" 0 3 2
"ID_297" 2 0 1
"ID_298" 1 3 1
"ID_299" 1 1 1
"ID_300" 2 2 5
"ID_301" 6 3 1
"ID_302" 2 3 6
"ID_303" 2 1 2
"ID_304" 0 1 3
"ID_305" 2 1 3
"ID_306" 6 1 1
"ID_307" 1 5 3
"ID_308" 0 1 1
"ID_309" 5 1 1
"ID_310" 1 1 1
"ID_311" 3 1 0
"ID_312" 1 0 0
"ID_313" 4 1 0
"ID_314" 2 1 0
"ID_315" 2 3 4
"ID_316" 2 1 2
"ID_317" 10 3 4
"ID_318" 8 5 3
"ID_319" 4 2 1
"ID_320" 4 6 4
"ID_321" 1 1 1
"ID_322" 5 1 0
"ID_323" 2 2 4
"ID_324" 2 0 0
"ID_325" 2 1 1
"ID_326" 1 2 2
"ID_327" 4 0 2
"ID_328" 2 2 2
"ID_329" 3 0 1
"ID_330" 2 4 6
"ID_331" 1 3 1
"ID_332" 3 2 4
"ID_333" 0 1 0
"ID_334" 3 2 4
"ID_335" 4 2 3
"ID_336" 3 0 0
"ID_337" 0 0 3
"ID_338" 1 2 1
"ID_339" 2 1 1
"ID_340" 2 0 4
"ID_341" 4 5 7
"ID_342" 1 0 1
"ID_343" 2 1 1
"ID_344" 1 5 2
"ID_345" 3 3 2
"ID_346" 2 0 2
"ID_347" 3 0 1
"ID_348" 0 1 2
"ID_349" 0 1 0
"ID_350" 0 0 0
"ID_351" 2 1 2
"ID_352" 2 0 0
"ID_353" 4 6 6
"ID_354" 8 0 3
"ID_355" 4 4 10
"ID_356" 5 5 6
"ID_357" 1 0 0
"ID_358" 1 2 2
"ID_359" 4 1 2
"ID_360" 2 1 1
"ID_361" 4 3 2
"ID_362" 3 3 4
"ID_363" 1 3 1
"ID_364" 3 3 2
"ID_365" 1 0 0
"ID_366" 3 0 0
"ID_367" 3 1 4
"ID_368" 3 2 1
"ID_369" 3 1 2
"ID_370" 4 4 1
"ID_371" 0 3 4
"ID_372" 1 2 5
"ID_373" 0 3 2
"ID_374" 1 4 1
"ID_375" 0 0 0
"ID_376" 1 0 1
"ID_377" 1 2 1
"ID_378" 1 0 3
"ID_379" 0 0 0
"ID_380" 1 5 5
"ID_381" 3 6 1
"ID_382" 3 1 2
"ID_383" 9 8 7
"ID_384" 0 3 5
"ID_385" 0 4 2
"ID_386" 1 0 2
"ID_387" 3 1 4
"ID_388" 2 0 2
"ID_389" 3 4 3
"ID_390" 3 2 6
"ID_391" 0 0 0
"ID_392" 2 1 0
"ID_393" 7 3 0
"ID_394" 1 0 1
"ID_395" 6 3 6
"ID_396" 0 0 0
"ID_397" 1 2 2
"ID_398" 0 0 2
"ID_399" 0 2 2
"ID_400" 0 3 1
"ID_401" 1 1 3
"ID_402" 2 0 3
"ID_403" 2 3 1
"ID_404" 0 3 0
"ID_405" 3 4 4
"ID_406" 5 4 8
"ID_407" 2 1 2
"ID_408" 8 5 6
"ID_409" 1 4 2
"ID_410" 3 6 4
"ID_411" 2 0 1
"ID_412" 2 2 2
"ID_413" 2 0 2
"ID_414" 6 4 1
"ID_415" 1 4 3
"ID_416" 3 7 4
"ID_417" 1 0 1
"ID_418" 1 1 0
"ID_419" 1 0 0
"ID_420" 2 5 1
"ID_421" 0 0 0
"ID_422" 0 0 2
"ID_423" 3 3 5
"ID_424" 2 3 0
"ID_425" 4 5 2
"ID_426" 1 1 2
"ID_427" 1 2 0
"ID_428" 5 3 1
"ID_429" 4 1 4
"ID_430" 1 1 1
"ID_431" 0 0 1
"ID_432" 3 2 0
"ID_433" 5 2 2
"ID_434" 3 1 4
"ID_435" 5 3 7
"ID_436" 1 1 4
"ID_437" 0 0 2
"ID_438" 3 3 2
"ID_439" 3 0 1
"ID_440" 1 3 2
"ID_441" 0 0 0
"ID_442" 0 0 0
"ID_443" 0 1 0
"ID_444" 1 0 0
"ID_445" 2 3 0
"ID_446" 0 0 0
"ID_447" 0 0 0
"ID_448" 0 0 0
"ID_449" 3 4 2
"ID_450" 1 3 1
"ID_451" 0 1 0
"ID_452" 1 0 1
"ID_453" 0 1 0
"ID_454" 3 1 0
"ID_455" 0 5 2
"ID_456" 1 2 1
"ID_457" 1 0 1
"ID_458" 1 2 4
"ID_459" 1 0 0
"ID_460" 0 1 2
"ID_461" 4 2 2
"ID_462" 1 0 0
"ID_463" 0 0 0
"ID_464" 1 0 2
"ID_465" 0 2 3
"ID_466" 4 5 3
"ID_467" 2 1 1
"ID_468" 3 0 0
"ID_469" 1 0 2
"ID_470" 1 3 0
"ID_471" 0 0 1
"ID_472" 6 2 5
"ID_473" 1 1 1
"ID_474" 1 0 1
"ID_475" 0 2 0
"ID_476" 1 3 4
"ID_477" 5 3 2
"ID_478" 2 5 0
"ID_479" 2 1 1
"ID_480" 2 1 0
"ID_481" 5 1 3
"ID_482" 3 3 0
"ID_483" 0 0 0
"ID_484" 1 4 1
"ID_485" 2 0 0
"ID_486" 0 2 1
"ID_487" 2 0 4
"ID_488" 0 0 2
"ID_489" 3 1 1
"ID_490" 7 6 8
"ID_491" 2 5 1
"ID_492" 0 0 2
"ID_493" 1 2 1
"ID_494" 0 1 2
"ID_495" 2 2 1
"ID_496" 4 1 3
"ID_497" 2 3 2
"ID_498" 0 3 2
"ID_499" 6 5 8
"ID_500" 1 2 4
"ID_501" 1 4 1
"ID_502" 6 2 2
"ID_503" 0 3 1
"ID_504" 4 4 6
"ID_505" 2 1 3
"ID_506" 1 1 4
"ID_507" 2 1 4
"ID_508" 2 0 3
"ID_509" 5 2 3
"ID_510" 4 1 4
"ID_511" 2 0 1
"ID_512" 0 5 1
"ID_513" 1 1 0
"ID_514" 3 1 4
"ID_515" 0 0 2
"ID_516" 5 2 2
"ID_517" 0 0 0
"ID_518" 2 0 0
"ID_519" 2 0 0
"ID_520" 3 2 2
"ID_521" 11 6 10
"ID_522" 6 6 2
"ID_523" 2 3 3
"ID_524" 3 9 2
"ID_525" 1 2 1
"ID_526" 2 1 0
"ID_527" 0 0 0
"ID_528" 2 1 1
"ID_529" 1 0 0
"ID_530" 0 1 1
"ID_531" 0 0 1
"ID_532" 2 3 0
"ID_533" 3 2 8
"ID_534" 0 0 0
"ID_535" 1 0 0
"ID_536" 2 2 2
"ID_537" 1 0 0
"ID_538" 1 0 0
"ID_539" 0 0 0
"ID_540" 1 2 0
"ID_541" 8 4 1
"ID_542" 1 8 4
"ID_543" 3 0 2
"ID_544" 4 7 2
"ID_545" 3 0 1
"ID_546" 2 4 1
"ID_547" 3 2 1
"ID_548" 2 0 0
"ID_549" 1 1 0
"ID_550" 3 1 2
"ID_551" 1 1 0
"ID_552" 2 1 1
"ID_553" 1 6 2
"ID_554" 3 4 2
"ID_555" 3 0 2
"ID_556" 2 1 1
"ID_557" 3 5 3
"ID_558" 6 3 8
"ID_559" 0 0 0
"ID_560" 2 1 0
"ID_561" 1 0 0
"ID_562" 6 2 13
"ID_563" 2 4 0
"ID_564" 7 1 4
"ID_565" 6 1 5
"ID_566" 3 1 3
"ID_567" 3 0 0
"ID_568" 4 3 6
"ID_569" 2 2 2
"ID_570" 3 5 2
"ID_571" 2 2 3
"ID_572" 6 1 3
"ID_573" 2 5 3
"ID_574" 8 6 6
"ID_575" 1 3 1
"ID_576" 0 0 0
"ID_577" 1 0 1
"ID_578" 0 0 0
"ID_579" 0 0 0
"ID_580" 1 0 0
"ID_581" 1 3 0
"ID_582" 0 1 0
"ID_583" 1 0 0
"ID_584" 0 0 0
"ID_585" 1 0 2
"ID_586" 3 2 0
"ID_587" 2 5 3
"ID_588" 1 3 2
"ID_589" 2 1 1
"ID_590" 3 3 3
"ID_591" 0 1 3
"ID_592" 1 0 2
"ID_593" 7 2 1
"ID_594" 5 4 4
"ID_595" 4 2 5
"ID_596" 0 2 3
"ID_597" 1 4 5
"ID_598" 2 0 3
"ID_599" 0 2 0
"ID_600" 5 2 5
"ID_601" 9 4 4
"ID_602" 5 4 4
"ID_603" 3 0 1
"ID_604" 6 1 4
"ID_605" 3 4 2
"ID_606" 4 3 5
"ID_607" 2 1 3
"ID_608" 4 6 3
"ID_609" 1 3 2
"ID_610" 4 0 1
"ID_611" 5 4 3
"ID_612" 1 10 2
"ID_613" 2 3 1
"ID_614" 4 2 2
"ID_615" 0 0 0
"ID_616" 3 2 3
"ID_617" 5 2 3
"ID_618" 1 2 0
"ID_619" 3 2 4
"ID_620" 4 3 1
"ID_621" 0 1 2
"ID_622" 3 1 1
"ID_623" 1 1 0
"ID_624" 1 0 0
"ID_625" 3 4 9
"ID_626" 2 0 2
"ID_627" 4 2 4
"ID_628" 2 2 2
"ID_629" 0 1 1
"ID_630" 6 3 1
"ID_631" 1 5 2
"ID_632" 1 1 1
"ID_633" 4 0 2
"ID_634" 0 0 0
"ID_635" 4 0 4
"ID_636" 4 7 6
"ID_637" 4 4 5
"ID_638" 1 0 2
"ID_639" 1 1 3
"ID_640" 4 5 1
"ID_641" 1 0 0
"ID_642" 0 1 0
"ID_643" 0 0 0
"ID_644" 0 0 0
"ID_645" 1 3 3
"ID_646" 0 1 3
"ID_647" 6 3 2
"ID_648" 1 0 1
"ID_649" 5 0 3
"ID_650" 4 2 4
"ID_651" 1 2 1
"ID_652" 3 5 3
"ID_653" 3 0 1
"ID_654" 3 2 0
"ID_655" 5 2 3
"ID_656" 1 1 0
"ID_657" 7 4 3
"ID_658" 2 1 1
"ID_659" 7 6 2
"ID_660" 1 1 0
"ID_661" 3 8 5
"ID_662" 5 3 1
"ID_663" 2 0 2
"ID_664" 5 1 2
"ID_665" 0 2 3
"ID_666" 2 0 5
"ID_667" 4 2 1
"ID_668" 1 0 4
"ID_669" 5 6 9
"ID_670" 6 8 5
"ID_671" 5 3 7
"ID_672" 1 7 5
"ID_673" 2 6 3
"ID_674" 2 2 0
"ID_675" 4 5 6
"ID_676" 1 1 5
"ID_677" 2 1 1
"ID_678" 2 0 3
"ID_679" 1 1 1
"ID_680" 3 1 1
"ID_681" 5 1 2
"ID_682" 1 4 2
"ID_683" 4 0 1
"ID_684" 1 5 0
"ID_685" 3 1 4
"ID_686" 1 1 2
"ID_687" 2 0 4
"ID_688" 1 1 0
"ID_689" 1 4 4
"ID_690" 1 3 2
"ID_691" 2 2 2
"ID_692" 2 1 5
"ID_693" 1 2 3
"ID_694" 0 2 0
"ID_695" 3 3 6
"ID_696" 8 2 4
"ID_697" 1 0 1
"ID_698" 1 2 2
"ID_699" 7 2 2
"ID_700" 6 3 3
"ID_701" 1 2 5
"ID_702" 6 2 2
"ID_703" 7 3 5
"ID_704" 1 4 0
"ID_705" 3 3 4
"ID_706" 6 5 8
"ID_707" 4 1 1
"ID_708" 4 6 2
"ID_709" 1 0 2
"ID_710" 1 4 0
"ID_711" 4 2 7
"ID_712" 2 1 4
"ID_713" 0 0 0
"ID_714" 1 0 0
"ID_715" 1 0 1
"ID_716" 0 0 1
"ID_717" 10 5 3
"ID_718" 3 1 1
"ID_719" 7 8 7
"ID_720" 2 1 1
"ID_721" 4 1 1
"ID_722" 4 4 3
"ID_723" 3 0 2
"ID_724" 4 4 2
"ID_725" 6 7 6
"ID_726" 3 2 4
"ID_727" 3 2 1
"ID_728" 0 6 1
"ID_729" 3 10 5
"ID_730" 1 3 0
"ID_731" 2 5 1
"ID_732" 4 11 4
"ID_733" 6 2 4
"ID_734" 1 2 6
"ID_735" 3 1 4
"ID_736" 3 2 5
"ID_737" 0 2 2
"ID_738" 1 0 0
"ID_739" 1 0 3
"ID_740" 4 0 1
"ID_741" 1 1 2
"ID_742" 1 0 0
"ID_743" 2 3 3
"ID_744" 1 1 1
"ID_745" 2 1 1
"ID_746" 2 2 2
"ID_747" 1 0 1
"ID_748" 1 3 0
"ID_749" 1 1 0
"ID_750" 2 1 0
"ID_751" 0 2 0
"ID_752" 2 1 0
"ID_753" 1 3 3
"ID_754" 4 4 2
"ID_755" 0 1 1
"ID_756" 1 2 2
"ID_757" 4 0 4
"ID_758" 1 7 4
"ID_759" 1 0 4
"ID_760" 0 0 2
"ID_761" 1 2 2
"ID_762" 4 4 4
"ID_763" 2 0 0
"ID_764" 1 0 0
"ID_765" 3 3 3
"ID_766" 2 0 0
"ID_767" 0 1 0
"ID_768" 1 1 4
"ID_769" 3 1 2
"ID_770" 1 0 0
"ID_771" 0 0 0
"ID_772" 0 0 0
"ID_773" 1 0 1
"ID_774" 2 1 1
"ID_775" 1 3 1
"ID_776" 0 0 1
"ID_777" 0 0 0
"ID_778" 1 6 1
"ID_779" 3 2 0
"ID_780" 1 0 4
"ID_781" 9 8 9
"ID_782" 1 4 3
"ID_783" 5 4 6
"ID_784" 4 2 0
"ID_785" 3 4 0
"ID_786" 3 2 4
"ID_787" 1 4 2
"ID_788" 0 4 4
"ID_789" 2 1 2
"ID_790" 1 2 2
"ID_791" 2 4 0
"ID_792" 2 5 0
"ID_793" 5 5 3
"ID_794" 5 3 1
"ID_795" 3 4 5
"ID_796" 4 0 4
"ID_797" 0 3 1
"ID_798" 0 1 0
"ID_799" 0 1 0
"ID_800" 1 3 4
"ID_801" 1 4 2
"ID_802" 1 3 1
"ID_803" 5 6 2
"ID_804" 3 2 1
"ID_805" 2 4 2
"ID_806" 0 0 1
"ID_807" 2 1 1
"ID_808" 1 0 0
"ID_809" 2 1 0
"ID_810" 2 1 1
"ID_811" 1 2 0
"ID_812" 0 1 0
"ID_813" 0 0 0
"ID_814" 1 0 0
"ID_815" 1 0 2
"ID_816" 2 0 0
"ID_817" 5 4 1
"ID_818" 4 3 3
"ID_819" 0 0 1
"ID_820" 5 2 9
"ID_821" 2 3 2
"ID_822" 0 0 1
"ID_823" 5 3 2
"ID_824" 2 1 3
"ID_825" 1 1 1
"ID_826" 2 1 1
"ID_827" 3 2 0
"ID_828" 2 0 1
"ID_829" 1 1 3
"ID_830" 2 1 0
"ID_831" 1 1 1
"ID_832" 1 3 1
"ID_833" 6 6 1
"ID_834" 1 1 0
"ID_835" 3 2 1
"ID_836" 1 0 1
"ID_837" 2 0 0
"ID_838" 1 1 2
"ID_839" 4 4 3
"ID_840" 2 0 3
"ID_841" 0 3 0
"ID_842" 2 4 2
"ID_843" 5 3 3
"ID_844" 0 5 0
"ID_845" 1 4 4
"ID_846" 2 2 1
"ID_847" 2 0 1
"ID_848" 0 2 3
"ID_849" 1 0 0
"ID_850" 5 4 5
"ID_851" 0 0 0
"ID_852" 1 2 1
"ID_853" 4 2 3
"ID_854" 2 3 5
"ID_855" 7 4 4
"ID_856" 2 3 1
"ID_857" 1 5 4
"ID_858" 5 3 6
"ID_859" 1 1 2
"ID_860" 3 2 4
"ID_861" 5 3 3
"ID_862" 2 3 3
"ID_863" 3 2 2
"ID_864" 2 4 2
"ID_865" 0 2 0
"ID_866" 0 1 2
"ID_867" 3 4 0
"ID_868" 1 0 0
"ID_869" 1 3 0
"ID_870" 6 4 0
"ID_871" 7 2 7
"ID_872" 3 0 2
"ID_873" 1 3 2
"ID_874" 5 6 3
"ID_875" 3 4 3
"ID_876" 2 4 6
"ID_877" 1 4 1
"ID_878" 1 2 0
"ID_879" 1 0 2
"ID_880" 9 5 2
"ID_881" 3 5 2
"ID_882" 2 1 2
"ID_883" 4 3 3
"ID_884" 1 1 0
"ID_885" 4 2 1
"ID_886" 2 0 1
"ID_887" 5 0 1
"ID_888" 1 0 0
"ID_889" 3 1 2
"ID_890" 3 1 1
"ID_891" 1 1 0
"ID_892" 1 0 1
"ID_893" 1 1 0
"ID_894" 1 0 1
"ID_895" 0 0 0
"ID_896" 2 2 3
"ID_897" 0 1 0
"ID_898" 3 3 1
"ID_899" 2 3 3
"ID_900" 4 4 0
"ID_901" 5 2 0
"ID_902" 4 9 2
"ID_903" 0 2 3
"ID_904" 3 0 4
"ID_905" 1 1 0
"ID_906" 1 0 1
"ID_907" 1 0 1
"ID_908" 0 0 0
"ID_909" 5 8 0
"ID_910" 2 4 6
"ID_911" 8 5 3
"ID_912" 5 1 3
"ID_913" 1 1 0
"ID_914" 2 2 4
"ID_915" 2 3 2
"ID_916" 1 3 1
"ID_917" 2 1 0
"ID_918" 3 2 2
"ID_919" 0 0 0
"ID_920" 2 0 0
"ID_921" 3 7 4
"ID_922" 3 2 0
"ID_923" 2 0 2
"ID_924" 1 2 1
"ID_925" 0 4 6
"ID_926" 2 3 0
"ID_927" 1 0 0
"ID_928" 2 1 3
"ID_929" 0 0 1
"ID_930" 0 0 0
"ID_931" 0 0 0
"ID_932" 0 0 0
"ID_933" 2 5 1
"ID_934" 5 0 5
"ID_935" 2 1 2
"ID_936" 2 2 3
"ID_937" 7 5 2
"ID_938" 1 2 1
"ID_939" 1 0 1
"ID_940" 1 1 5
"ID_941" 1 0 1
"ID_942" 4 3 2
"ID_943" 2 2 0
"ID_944" 2 0 2
"ID_945" 6 2 8
"ID_946" 5 1 1
"ID_947" 3 1 1
"ID_948" 0 0 1
"ID_949" 1 4 3
"ID_950" 10 5 11
"ID_951" 4 1 2
"ID_952" 8 1 4
"ID_953" 2 4 3
"ID_954" 9 2 6
"ID_955" 1 6 3
"ID_956" 5 1 1
"ID_957" 3 9 6
"ID_958" 3 2 4
"ID_959" 3 2 2
"ID_960" 0 7 3
"ID_961" 3 1 1
"ID_962" 5 3 3
"ID_963" 1 5 2
"ID_964" 3 5 4
"ID_965" 5 4 3
"ID_966" 1 1 5
"ID_967" 2 1 1
"ID_968" 1 5 2
"ID_969" 1 0 1
"ID_970" 1 3 0
"ID_971" 0 0 0
"ID_972" 1 0 1
"ID_973" 6 5 3
"ID_974" 5 5 2
"ID_975" 10 8 8
"ID_976" 6 5 2
"ID_977" 0 6 1
"ID_978" 2 4 3
"ID_979" 5 2 4
"ID_980" 1 0 0
"ID_981" 1 1 1
"ID_982" 2 1 3
"ID_983" 0 0 2
"ID_984" 2 0 4
"ID_985" 5 0 1
"ID_986" 2 0 0
"ID_987" 1 0 0
"ID_988" 4 1 4
"ID_989" 1 2 3
"ID_990" 6 2 2
"ID_991" 1 0 1
"ID_992" 1 0 0
"ID_993" 2 4 5
"ID_994" 0 2 0
"ID_995" 1 0 0
"ID_996" 1 0 3
"ID_997" 3 1 3
"ID_998" 1 2 1
"ID_999" 5 1 2
"ID_1000" 3 2 4
"ID_1001" 3 3 3
"ID_1002" 3 4 5
"ID_1003" 10 6 6
"ID_1004" 0 0 0
"ID_1005" 2 2 2
"ID_1006" 2 2 3
"ID_1007" 4 1 2
"ID_1008" 0 3 2
"ID_1009" 1 2 1
"ID_1010" 3 1 0
"ID_1011" 1 2 2
"ID_1012" 3 1 1
"ID_1013" 3 4 6
"ID_1014" 8 2 6
"ID_1015" 0 1 0
"ID_1016" 0 0 0
"ID_1017" 1 2 1
"ID_1018" 3 2 2
"ID_1019" 1 0 1
"ID_1020" 1 1 2
"ID_1021" 1 0 0
"ID_1022" 2 2 2
"ID_1023" 4 3 2
"ID_1024" 0 0 0
"ID_1025" 3 6 4
"ID_1026" 5 2 6
"ID_1027" 5 1 1
"ID_1028" 3 5 6
"ID_1029" 4 4 2
"ID_1030" 2 2 0
"ID_1031" 5 3 1
"ID_1032" 1 3 6
"ID_1033" 1 2 0
"ID_1034" 0 1 0
"ID_1035" 1 0 0
"ID_1036" 2 0 0
"ID_1037" 0 0 0
"ID_1038" 0 2 1
"ID_1039" 4 3 1
"ID_1040" 0 1 1
"ID_1041" 2 0 3
"ID_1042" 6 2 1
"ID_1043" 2 7 2
"ID_1044" 0 0 0
"ID_1045" 1 0 0
"ID_1046" 3 5 6
"ID_1047" 2 0 0
"ID_1048" 0 1 0
"ID_1049" 7 6 9
"ID_1050" 2 4 5
"ID_1051" 1 0 2
"ID_1052" 2 4 3
"ID_1053" 4 0 3
"ID_1054" 0 1 3
"ID_1055" 0 1 0
"ID_1056" 1 3 0
"ID_1057" 4 0 1
"ID_1058" 0 5 0
"ID_1059" 1 4 0
"ID_1060" 3 1 4
"ID_1061" 0 0 0
"ID_1062" 0 1 0
"ID_1063" 0 0 0
"ID_1064" 0 0 0
